ich,I
schade,a pity
möchten,want
gratuliere,Congratulate
fenster,window
dagegen,on the other hand
bleibt,remains
band,tape
wenn's,When
sitzt,Sitting
schaffen,create
meines,My
liebling,Darling
lhrer,Yours
krankenhaus,hospital
krank,Sick
jedes,Each
heiß,hot
eher,rather
bereit,ready
solche,such
setz,Set
scheint,seems
nimmst,take
neues,New
meisten,Most
liebt,Love
klopfen,beat
klein,small
gewinnen,win
fühlst,Feel
bescheid,Modest
babies,Babies
wunderbar,wonderful
wochenende,weekend
teil,part
stand,was standing
spiele,Games
müsste,Would have to
hände,hands
hose,trousers
getrennt,separated
fühl,Feel
behalten,to keep
weile,while
wart,Were
voll,full
tue,Do
traurig,Sad
suche,search
stelle,location
nervös,nervous
langsam,slowly
kennt,knows
kekse,Cookies
karten,cards
jede,Every
idie,Idie
gebracht,Brought about
fühlt,feels
frag,Ask
fangen,to catch
euer,your
ausgehen,Out
alte,old
'nem,'Nem
Überraschung,surprise
unseren,Our
tÜR,door
total,total
thema,theme
sagtest,Said
rendezvous,rendezvous
laut,according to
kaputt,broken
interessant,Interesting
hält,Is maintained
erwarten,expect
bringt,Of course
blöd,stupid
beispiel,example
aussehen,appearance
übel,evil
wohnt,Lives
weinen,cry
wein,Wine
weihnachten,Christmas
wasser,water
vorsichtig,careful
tante,aunt
straße,road
mies,bad
magst,like
länger,longer
lhren,Yours
kuss,kiss
klingelt,Rings
immerhin,after all
idu,Idu
halte,Hold
großmutter,grandmother
glaubt,Believes
gefühle,Feelings
gedanken,thoughts
fragt,Asks
eigenartig,Peculiar
café,coffee shop
bringe,Bring
bekomme,Get
zieh,Pull
zeug,Tool
weise,wise
wahrheit,truth
verdient,earned
taxi,taxi
probleme,Problems
pizza,Pizza
packen,pack
müsst,Must
leg,Leg
krieg,war
idas,Idas
greene,Greene
green,Green
geschrieben,written
führen,to lead
freue,Happy
feiern,celebrate
drüben,over there
couch,couch
bin's,It's
bekommst,Get
versprochen,promised
verschwinden,disappear
verlieren,to lose
unten,below
tatsächlich,indeed
spricht,speaks
spinnst,crazy
sie's,She's
setzen,put
schlimmer,worse
rief,Cited
rauchen,smoke
quatsch,nonsense
prima,fine
onkel,uncle
liegen,lie
lief,Ran
leiden,To suffer
lasse,Leave
küche,kitchen
hörst,Listen
groß,big
geredet,Talked
genommen,Taken
finger,finger
entschuldigt,Apologized
college,college
arme,poor
arbeite,Work
ans,Ans
alter,older
wünsche,Wishes
wofür,for what
willkommen,welcome
süße,sweet
richtigen,right
